year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,3,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",89.00,8.00,4.46,1.00,1.61,0.00,0.93,1.00,1.00,412.00,262.00,38.00,53.00,0.00,59.00
2023,3,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.00,8.00,3.95,0.37,1.29,0.00,2.40,0.00,0.00,357.00,188.00,7.00,44.00,0.00,118.00
2023,3,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",11.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,60.00,24.00,0.00,0.00,0.00,36.00
2023,3,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",201.00,27.00,13.04,0.46,7.06,0.00,6.44,7.00,1.00,1336.00,742.00,13.00,220.00,0.00,361.00
2023,3,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1598.00,222.00,57.22,8.08,61.32,0.00,95.38,8.00,6.00,18248.00,7265.00,774.00,3458.00,0.00,6751.00
2023,3,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",47.00,8.00,1.42,1.80,3.62,0.00,1.16,0.00,1.00,674.00,114.00,353.00,167.00,0.00,40.00
2023,3,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",62.00,7.00,3.95,0.00,3.05,0.00,0.00,0.00,0.00,300.00,242.00,0.00,58.00,0.00,0.00
2023,3,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",69.00,9.00,3.83,0.00,3.64,0.00,1.53,1.00,0.00,267.00,143.00,0.00,83.00,0.00,41.00
2023,3,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",62.00,8.00,3.85,0.88,1.62,0.00,1.65,2.00,0.00,833.00,606.00,29.00,42.00,0.00,156.00
2023,3,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",13.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,3,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",58.00,10.00,2.71,0.00,2.37,0.00,4.92,2.00,2.00,598.00,195.00,0.00,73.00,0.00,330.00
2023,3,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",170.00,19.00,3.19,1.00,5.80,0.00,9.01,6.00,0.00,807.00,129.00,75.00,151.00,0.00,452.00
